Date,Open Price,Close Price,High Price,Low Price,Volume
01-Jun-2015,2108.64,2111.73,2119.15,2102.54,1973760640
02-Jun-2015,2110.41,2109.60,2117.59,2099.14,1868639360
03-Jun-2015,2110.64,2114.07,2121.92,2109.61,1936177408
04-Jun-2015,2112.35,2095.84,2112.89,2093.23,2051411840
05-Jun-2015,2095.09,2092.83,2100.99,2085.67,2215052800
08-Jun-2015,2092.34,2079.28,2093.01,2079.11,1858068736
09-Jun-2015,2079.07,2080.15,2085.62,2072.14,1882424704
10-Jun-2015,2081.12,2105.20,2108.50,2081.12,2026425600
11-Jun-2015,2106.24,2108.86,2115.02,2106.24,1860891520
12-Jun-2015,2107.43,2094.11,2107.43,2091.33,1596140032
15-Jun-2015,2091.34,2084.43,2091.34,2072.49,1839250560
16-Jun-2015,2084.26,2096.29,2097.40,2082.10,1606475392
17-Jun-2015,2097.40,2100.44,2106.79,2088.86,1832811776
18-Jun-2015,2101.58,2121.24,2126.65,2101.58,2105357056
19-Jun-2015,2121.03,2109.99,2121.64,2109.38,2661689600
22-Jun-2015,2112.50,2122.85,2129.87,2112.50,1799818368
23-Jun-2015,2123.16,2124.20,2128.03,2119.89,1797528192
24-Jun-2015,2123.33,2108.58,2125.10,2108.58,1966293760
25-Jun-2015,2109.96,2102.31,2116.04,2101.78,1882419328
26-Jun-2015,2102.62,2101.49,2108.92,2095.38,2642617600
29-Jun-2015,2098.63,2057.64,2098.63,2056.64,2249700608
30-Jun-2015,2061.19,2063.11,2074.28,2056.32,2343340032
01-Jul-2015,2067.00,2077.42,2082.78,2067.00,2197713920
02-Jul-2015,2078.03,2076.78,2085.06,2071.02,1752681600
06-Jul-2015,2073.95,2068.76,2078.61,2058.40,1998929280
07-Jul-2015,2069.52,2081.34,2083.74,2044.02,2564912896
08-Jul-2015,2077.66,2046.68,2077.66,2044.66,2186352384
09-Jul-2015,2049.73,2051.31,2074.28,2049.73,2156555776
10-Jul-2015,2052.74,2076.62,2081.31,2052.74,1812938112
13-Jul-2015,2080.03,2099.60,2100.67,2080.03,1834991744
14-Jul-2015,2099.72,2108.95,2111.98,2098.18,1931088128
15-Jul-2015,2109.01,2107.40,2114.14,2102.49,2114954240
